SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"NIFTY 50","23,928.40","23,964.50","23,896.70","23,767.45","23,938.65","-","171.2","0.72","35953166","2,793.89","26,373.20","22,182.55","-0.49","-3.62"
"HDFCBANK","746.10","747.95","743.65","742.80","743.85","-","1.05","0.14","4207544","313.54","1,020.50","726.65","-6.57","-25.77"
"INFY","1,065.00","1,077.50","1,057.40","1,040.90","1,076.80","-","35.9","3.45","2634774","280.81","1,728.00","982.40","3.34","-29.01"
"SHRIRAMFIN","1,020.00","1,029.00","1,002.20","1,005.10","1,018.00","-","12.9","1.28","2241777","226.86","1,108.00","566.50","-1.3","65.36"
"TCS","2,286.00","2,306.70","2,272.40","2,254.30","2,306.00","-","51.7","2.29","647663","148.11","3,350.00","1,976.80","10.11","-26.45"
"ICICIBANK","1,435.70","1,439.60","1,429.20","1,432.90","1,430.80","-","-2.1","-0.15","947996","135.96","1,500.00","1,187.60","3.13","-3.13"
"ITC","287.75","287.90","285.55","283.45","286.80","-","3.35","1.18","4120720","118.26","427.00","275.00","-1.07","-29.92"
"ETERNAL","281.50","286.90","281.45","280.00","286.40","-","6.4","2.29","4041593","115.37","368.45","212.60","12.52","-7.55"
"INDIGO","5,111.00","5,164.00","5,111.00","4,985.00","5,161.50","-","176.5","3.54","186626","95.94","6,232.50","3,895.20","-5.31","-11.07"
"RELIANCE","1,288.20","1,288.70","1,282.50","1,278.00","1,283.70","-","5.7","0.45","725648","93.24","1,611.80","1,249.80","-2.59","-7.74"
"SBIN","1,020.30","1,023.70","1,018.50","1,015.00","1,019.30","-","4.3","0.42","845829","86.36","1,234.70","786.55","-2.53","26.33"
"BAJFINANCE","1,026.70","1,038.70","1,026.60","1,012.80","1,036.40","-","23.6","2.33","820147","84.76","1,102.50","787.90","5.73","13.44"
"HCLTECH","1,284.60","1,292.90","1,277.30","1,271.00","1,292.50","-","21.5","1.69","473424","60.82","1,780.10","1,030.00","17.35","-13.31"
"BHARTIARTL","1,892.00","1,906.40","1,892.00","1,898.20","1,899.90","-","1.7","0.09","307502","58.37","2,174.50","1,740.50","2.65","-1.97"
"MARUTI","13,579.00","13,640.00","13,501.00","13,442.00","13,600.00","-","158","1.18","36906","50.10","17,370.00","12,201.00","-1.04","9.66"
"M&M","3,183.00","3,199.30","3,180.30","3,161.40","3,184.40","-","23","0.73","154191","49.17","3,839.90","2,896.00","0.05","-1.93"
